sex,age,race,juv-fel-count,decile-score,juv-misd-count,juv-other-count,priors-count,days-b-screening-arrest,c-days-from-compas,c-charge-degree,is-recid,r-charge-degree,is-violent-recid,v-decile-score,c-jail-time,r-jail-time
Male,33,White,0,9,0,0,1,0.0,0.0,3,0,1,Low,10,1.0,0.0
Female,63,Non-White,0,1,0,0,1,-219.0,219.0,3,0,1,Low,1,8.0,0.0
Male,30,Non-White,0,6,0,1,3,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,31,Non-White,0,5,0,1,15,-1.0,1.0,3,1,2,Low,7,135.0,0.0
Male,24,Non-White,0,4,0,0,2,-1.0,1.0,3,1,2,Low,4,1.0,1.0
Male,27,Non-White,0,5,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,32,White,0,8,0,0,3,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,30,Non-White,0,7,0,0,0,0.0,0.0,2,0,1,Low,3,23.0,0.0
Male,49,Non-White,0,1,0,0,4,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,53,White,0,5,0,0,8,-13.0,13.0,3,0,1,Low,2,13.0,0.0
Female,31,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,35,Non-White,0,3,0,0,5,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,63,Non-White,0,7,0,0,10,-38.0,906.0,2,1,2,Low,5,35.0,0.0
Male,33,Non-White,0,1,0,0,2,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,27,Non-White,1,10,1,2,15,-1.0,1.0,3,1,2,Low,9,1.0,5.0
Male,38,White,0,2,0,0,4,-1.0,1.0,2,1,2,Low,2,1.0,0.0
Male,46,White,3,6,1,0,9,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,22,Non-White,0,4,0,1,1,-1.0,1.0,3,1,2,Low,6,1.0,0.0
Female,34,White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,22,Non-White,0,10,1,2,2,70.0,114.0,3,1,2,Low,9,124.0,89.0
Male,29,Non-White,0,9,0,0,4,-1.0,1.0,3,1,3,Low,5,18.0,0.0
Male,62,Non-White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,-1.0,0.0
Male,27,Non-White,0,6,1,0,6,0.0,0.0,3,1,3,Low,3,30.0,1.0
Male,33,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Female,56,Non-White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,3.0,0.0
Male,45,Non-White,0,1,0,0,6,-1.0,1.0,3,1,2,High,1,241.0,0.0
Male,22,Non-White,0,4,0,0,1,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Female,31,White,0,3,0,0,2,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,34,Non-White,0,4,0,0,0,0.0,0.0,3,0,1,Low,4,419.0,0.0
Male,39,Non-White,0,4,0,0,1,-1.0,1.0,2,0,1,Low,2,4.0,0.0
Male,24,Non-White,0,6,1,0,4,-1.0,1.0,2,0,1,Low,4,1.0,0.0
Male,29,Non-White,0,6,0,0,5,0.0,0.0,3,1,2,Low,3,1.0,1.0
Male,27,White,0,6,0,1,1,-1.0,1.0,3,1,3,Low,3,14.0,0.0
Female,24,Non-White,0,4,0,0,1,-325.0,325.0,2,0,1,Low,2,-1.0,0.0
Male,40,Non-White,0,2,0,0,2,-15.0,15.0,3,0,1,Low,1,3.0,0.0
Male,51,Non-White,0,1,0,0,1,-78.0,78.0,3,0,1,Low,1,55.0,0.0
Male,22,Non-White,0,3,0,0,1,0.0,1.0,2,1,2,Low,3,16.0,0.0
Male,22,White,0,8,0,0,0,-1.0,1.0,3,0,1,Low,6,57.0,0.0
Female,26,Non-White,0,4,0,0,1,-1.0,1.0,3,1,2,High,3,2.0,58.0
Male,27,White,0,7,0,0,1,-43.0,44.0,3,1,2,High,8,19.0,18.0
Male,32,White,0,1,0,0,3,-389.0,711.0,2,0,1,Low,3,69.0,0.0
Male,32,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,41,Non-White,0,2,0,0,1,-1.0,5185.0,2,0,1,Low,2,1.0,0.0
Male,50,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,30,Non-White,0,10,0,0,8,-1.0,1.0,2,1,2,High,9,1.0,1.0
Male,66,Non-White,0,9,0,0,0,-1.0,1372.0,2,0,1,Low,3,1.0,0.0
Male,52,Non-White,0,5,0,0,3,-318.0,1.0,3,0,1,Low,1,9.0,0.0
Male,22,White,0,6,0,0,3,-5.0,7.0,3,0,1,Low,5,-1.0,0.0
Male,50,Non-White,0,1,0,0,0,-1.0,1.0,3,1,2,Low,2,1.0,2.0
Male,25,Non-White,1,10,6,1,14,-1.0,1.0,3,1,2,High,10,7.0,19.0
Male,20,Non-White,0,5,0,0,0,-1.0,1.0,3,1,3,High,8,1.0,423.0
Male,22,Non-White,1,9,0,0,2,0.0,0.0,3,1,2,Low,10,30.0,1.0
Male,23,Non-White,0,7,0,1,2,137.0,192.0,2,1,2,Low,8,1.0,0.0
Male,54,Non-White,0,6,0,0,6,-1.0,864.0,3,0,1,Low,5,105.0,0.0
Male,40,White,0,5,0,0,4,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,25,Non-White,0,7,0,0,10,-181.0,138.0,3,0,1,Low,6,181.0,0.0
Female,35,Non-White,0,2,0,0,1,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,36,Non-White,0,7,0,0,9,0.0,1.0,3,1,2,Low,6,3.0,1.0
Male,26,White,0,8,0,0,7,0.0,1.0,3,1,2,Low,4,1.0,1.0
Male,21,Non-White,0,6,0,0,1,0.0,1.0,3,1,2,Low,6,3.0,98.0
Male,30,White,0,5,0,1,6,-239.0,1.0,3,0,1,Low,4,10.0,0.0
Male,25,White,0,8,0,0,9,-1.0,1.0,3,1,2,High,9,1.0,0.0
Male,34,Non-White,0,3,0,0,3,-21.0,21.0,2,0,1,Low,2,16.0,0.0
Female,20,White,0,7,0,0,0,-1.0,1.0,3,0,1,Low,8,1.0,0.0
Male,39,White,0,1,0,0,2,-2.0,3.0,3,1,3,Low,1,-1.0,22.0
Male,66,White,0,1,0,0,3,-64.0,64.0,3,0,1,Low,1,30.0,0.0
Female,54,White,0,1,0,0,0,0.0,1.0,2,0,1,Low,1,1.0,0.0
Female,44,Non-White,0,1,0,0,0,-2.0,2.0,2,0,1,Low,1,1.0,0.0
Male,19,Non-White,0,4,0,0,1,-10.0,10.0,2,1,2,High,7,9.0,6.0
Male,24,Non-White,0,2,0,0,1,-137.0,137.0,3,0,1,Low,3,137.0,0.0
Male,30,Non-White,0,2,0,0,1,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Female,39,White,0,1,0,0,0,-1.0,1.0,3,1,2,High,1,1.0,1.0
Female,32,Non-White,0,3,0,0,8,0.0,1.0,2,0,1,Low,1,1.0,0.0
Male,24,White,0,6,1,2,8,-1.0,0.0,3,1,3,Low,6,12.0,1.0
Male,30,White,0,4,0,0,0,-1.0,1.0,3,0,1,Low,2,5.0,0.0
Male,31,White,0,5,0,0,0,-1.0,1.0,2,0,1,Low,2,38.0,0.0
Female,39,White,0,4,0,0,1,-1.0,1.0,3,0,1,Low,3,106.0,0.0
Male,59,Non-White,0,9,0,0,14,178.0,265.0,3,1,3,High,4,109.0,110.0
Male,35,White,0,6,0,0,7,0.0,0.0,3,0,1,Low,3,1.0,0.0
Female,24,Non-White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,4,16.0,0.0
Male,43,White,0,1,0,0,1,-30.0,30.0,3,0,1,Low,1,1.0,0.0
Male,21,Non-White,1,9,0,1,2,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Female,21,Non-White,0,4,0,0,0,-1.0,1.0,2,0,1,Low,4,3.0,0.0
Male,21,Non-White,0,9,0,0,3,-1.0,1.0,3,1,2,Low,6,6.0,302.0
Male,27,Non-White,0,7,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,20,Non-White,0,8,0,0,0,0.0,0.0,3,0,1,Low,6,1.0,0.0
Male,38,White,0,4,0,0,5,-1.0,1.0,2,1,3,Low,3,2.0,1.0
Male,27,Non-White,0,9,0,0,3,-1.0,2.0,3,0,1,Low,4,207.0,0.0
Male,34,White,0,5,0,0,0,0.0,0.0,3,0,1,Low,5,14.0,0.0
Male,30,Non-White,0,3,0,0,3,0.0,0.0,3,0,1,Low,3,-1.0,0.0
Male,33,Non-White,0,5,0,0,5,0.0,1.0,3,1,2,Low,2,1.0,0.0
Male,37,Non-White,0,2,0,0,3,0.0,0.0,3,0,1,Low,1,1.0,0.0
Male,42,White,0,2,0,0,1,0.0,1.0,3,1,3,Low,2,1.0,36.0
Male,41,Non-White,0,9,1,0,10,0.0,0.0,3,1,2,Low,7,176.0,41.0
Male,22,Non-White,0,4,0,0,0,-1.0,1.0,3,1,3,Low,7,1.0,1.0
Male,33,Non-White,0,8,12,2,28,-1.0,1.0,3,1,2,Low,5,1.0,1.0
Male,44,White,0,1,0,0,0,-3.0,3.0,2,0,1,Low,1,1.0,0.0
Male,31,Non-White,0,7,0,0,1,-1.0,1.0,2,0,1,Low,8,1.0,0.0
Male,26,Non-White,0,8,0,0,9,0.0,0.0,3,0,1,Low,7,1.0,0.0
Female,30,Non-White,0,2,0,0,1,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,31,White,0,10,0,0,13,-1.0,0.0,3,1,3,High,7,471.0,0.0
Male,27,Non-White,0,9,0,0,3,-1.0,1.0,3,1,3,Low,4,1.0,0.0
Female,31,White,0,2,0,0,1,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,47,Non-White,0,1,0,0,2,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,56,Non-White,0,9,0,0,8,67.0,79.0,3,0,1,Low,3,79.0,0.0
Male,33,Non-White,0,8,0,0,2,14.0,132.0,2,0,1,Low,8,13.0,0.0
Male,52,White,0,9,0,0,3,-2.0,2.0,2,0,1,Low,6,1.0,0.0
Male,33,Non-White,0,10,0,0,19,-1.0,1.0,3,1,2,Low,7,1.0,0.0
Male,61,White,0,4,0,0,0,-1.0,1.0,3,0,1,Low,1,15.0,0.0
Female,64,White,0,1,0,0,2,-47.0,48.0,2,0,1,Low,1,-1.0,0.0
Male,22,White,0,6,0,0,4,-36.0,36.0,3,1,2,Low,8,14.0,0.0
Male,42,White,0,3,0,0,6,-4.0,5.0,3,0,1,Low,1,-1.0,0.0
Female,25,White,0,4,0,0,2,-1.0,1.0,3,0,1,Low,5,3.0,0.0
Male,27,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,2,1.0,0.0
Male,30,White,0,2,0,0,1,-20.0,20.0,2,0,1,Low,2,3.0,0.0
Female,37,Non-White,0,2,0,0,2,-1.0,222.0,2,0,1,Low,1,1.0,0.0
Male,21,White,0,5,0,0,1,-1.0,1.0,3,0,1,Low,6,1.0,0.0
Male,28,White,0,2,0,0,0,-1.0,1.0,2,1,2,Low,3,1.0,1.0
Female,24,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,3,2.0,0.0
Male,37,Non-White,0,8,0,0,13,-29.0,5.0,3,0,1,Low,7,29.0,0.0
Male,22,Non-White,0,9,0,0,0,-1.0,1.0,3,0,1,Low,8,7.0,0.0
Female,29,White,0,4,1,0,10,-1.0,1.0,3,1,3,Low,2,7.0,38.0
Female,25,White,0,3,0,0,0,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,44,White,0,2,0,0,2,0.0,1.0,2,1,2,Low,1,-1.0,0.0
Female,30,Non-White,0,5,0,0,4,-35.0,36.0,3,1,2,High,5,1.0,32.0
Male,32,Non-White,0,7,0,0,3,-1.0,1.0,3,1,3,Low,3,8.0,0.0
Male,53,Non-White,0,4,0,0,1,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,34,Non-White,0,2,0,0,1,0.0,0.0,2,0,1,Low,1,2.0,0.0
Male,31,White,0,3,0,0,2,-16.0,16.0,2,1,2,Low,3,15.0,0.0
Male,27,Non-White,0,10,0,0,5,20.0,78.0,3,0,1,Low,10,6.0,0.0
Male,31,Non-White,0,2,0,0,1,-1.0,1.0,2,1,2,Low,3,1.0,0.0
Male,59,White,0,2,0,0,1,-1.0,1.0,3,1,2,Low,1,1.0,7.0
Male,28,Non-White,0,10,0,0,15,0.0,1.0,3,0,1,Low,8,40.0,0.0
Male,23,White,0,3,0,0,0,-1.0,1.0,2,0,1,Low,3,1.0,0.0
Female,20,Non-White,1,10,0,0,1,0.0,0.0,3,0,1,Low,10,2.0,0.0
Male,42,Non-White,0,1,0,0,2,-41.0,41.0,3,0,1,Low,1,10.0,0.0
Female,43,White,0,1,0,0,0,0.0,0.0,2,0,1,Low,1,1.0,0.0
Male,38,Non-White,1,8,1,0,9,-1.0,1.0,3,1,2,Low,4,13.0,1.0
Male,32,Non-White,0,6,0,0,11,-2.0,2.0,3,1,3,High,5,1.0,36.0
Male,33,Non-White,0,5,0,0,8,-1.0,1.0,2,1,2,High,2,1.0,0.0
Male,55,Non-White,0,8,0,0,4,-1.0,1480.0,2,0,1,Low,3,16.0,0.0
Female,31,Non-White,0,3,0,0,0,-1.0,1.0,3,1,2,Low,2,1.0,37.0
Female,33,Non-White,0,9,0,0,7,-1.0,1.0,3,1,2,Low,9,26.0,19.0
Male,27,Non-White,0,9,0,0,2,-1.0,1.0,3,1,2,Low,8,1.0,1.0
Male,52,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Female,20,Non-White,0,6,0,0,0,0.0,1.0,3,0,1,Low,8,1.0,0.0
Female,26,White,0,6,0,0,0,-2.0,2.0,2,0,1,Low,3,1.0,0.0
Male,25,Non-White,0,10,0,0,4,-1.0,1.0,2,0,1,Low,10,262.0,0.0
Female,61,Non-White,0,1,0,0,1,-1.0,1.0,3,1,2,Low,1,1.0,0.0
Male,52,Non-White,0,7,0,0,13,-1.0,1.0,3,1,2,Low,6,1.0,1.0
Male,63,Non-White,0,1,0,0,1,-26.0,26.0,3,0,1,Low,1,14.0,0.0
Female,32,Non-White,0,10,0,0,4,-7.0,7.0,3,1,3,High,9,6.0,118.0
Male,29,Non-White,0,4,0,0,1,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Female,26,Non-White,0,4,0,0,2,-1.0,1.0,2,1,2,Low,4,1.0,0.0
Male,55,Non-White,0,1,0,0,3,-51.0,52.0,2,0,1,Low,1,1.0,0.0
Male,39,White,1,4,0,0,1,-1.0,1672.0,1,0,1,Low,4,3.0,0.0
Female,30,White,0,7,0,0,3,0.0,1.0,3,1,3,Low,4,530.0,11.0
Male,30,Non-White,0,7,0,0,1,0.0,1.0,3,0,1,Low,8,70.0,0.0
Male,48,White,0,2,0,0,2,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,33,White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,22,Non-White,0,2,0,0,1,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,46,White,0,1,0,0,6,22.0,31.0,3,1,2,Low,1,22.0,23.0
Male,41,White,0,10,0,0,5,-1.0,1.0,3,0,1,Low,4,95.0,0.0
Female,49,White,0,6,0,0,6,-56.0,56.0,3,0,1,Low,2,5.0,0.0
Male,31,White,0,5,0,0,0,0.0,1.0,3,0,1,Low,4,2.0,0.0
Male,31,Non-White,0,1,0,0,0,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Male,25,Non-White,0,2,0,0,1,-1.0,1.0,2,1,2,Low,3,1.0,4.0
Male,31,Non-White,0,3,0,0,3,-19.0,19.0,3,0,1,Low,2,19.0,0.0
Female,21,Non-White,0,6,0,0,0,-4.0,4.0,2,0,1,Low,6,3.0,0.0
Male,23,Non-White,0,3,0,0,0,-1.0,2.0,3,0,1,Low,5,1.0,0.0
Female,32,Non-White,0,7,0,0,5,-1.0,1.0,3,0,1,Low,3,1.0,0.0
Male,52,Non-White,0,1,0,0,2,-1.0,1.0,2,0,1,Low,1,3.0,0.0
Male,62,Non-White,0,4,0,0,8,0.0,1.0,3,0,1,Low,1,15.0,0.0
Male,30,Non-White,0,6,0,0,2,-188.0,1.0,2,0,1,Low,4,1.0,0.0
Female,37,White,0,10,0,0,6,-110.0,111.0,3,0,1,Low,4,105.0,0.0
Male,55,White,0,1,0,0,1,-45.0,45.0,3,0,1,Low,1,18.0,0.0
Male,31,Non-White,0,9,0,0,8,29.0,61.0,3,1,2,Low,7,117.0,87.0
Male,28,Non-White,0,6,0,0,6,-1.0,1.0,2,1,2,High,6,1.0,0.0
Male,54,Non-White,0,1,0,0,2,-1.0,1.0,3,0,1,Low,1,188.0,0.0
Male,58,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,78,White,0,1,0,0,1,-1.0,1.0,2,1,3,Low,1,1.0,0.0
Male,56,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,21,Non-White,0,10,0,0,1,-155.0,155.0,2,0,1,Low,8,11.0,0.0
Male,24,Non-White,0,2,0,0,0,-1.0,1.0,3,0,1,Low,4,1.0,0.0
Male,38,Non-White,2,8,2,1,22,-34.0,35.0,3,1,2,Low,5,33.0,13.0
Male,39,Non-White,0,5,0,0,3,-1.0,1637.0,2,0,1,Low,1,5.0,0.0
Male,35,White,0,1,0,0,0,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,22,Non-White,0,5,0,0,1,0.0,1.0,3,1,2,Low,5,1.0,0.0
Male,47,Non-White,0,8,0,0,23,-1.0,1.0,2,1,3,Low,1,1.0,34.0
Male,23,Non-White,0,2,0,0,0,-1.0,1.0,2,1,2,Low,4,1.0,9.0
Male,57,Non-White,0,1,0,0,1,0.0,0.0,3,0,1,Low,1,19.0,0.0
Female,38,White,0,5,0,0,2,-35.0,35.0,3,1,2,Low,2,1.0,8.0
Male,66,Non-White,0,1,0,0,3,-10.0,10.0,3,1,2,High,1,2.0,0.0
Male,45,White,0,4,0,0,8,0.0,0.0,2,1,2,Low,3,71.0,0.0
Female,28,White,0,5,0,0,0,-2.0,2.0,2,0,1,Low,2,1.0,0.0
Male,45,Non-White,0,1,0,0,2,-117.0,117.0,3,0,1,Low,1,1.0,0.0
Male,32,Non-White,0,10,0,0,13,289.0,1.0,3,1,3,Low,7,97.0,97.0
Male,37,Non-White,0,9,0,0,2,0.0,0.0,2,1,2,High,8,1.0,32.0
Male,39,White,0,4,0,0,0,0.0,0.0,3,1,2,Low,4,1.0,41.0
Male,26,Non-White,0,9,0,0,9,0.0,1.0,3,1,3,Low,8,79.0,106.0
Male,25,Non-White,0,8,0,0,3,-1.0,0.0,3,0,1,Low,8,1.0,0.0
Male,45,White,0,3,0,0,2,-1.0,1.0,3,0,1,Low,4,358.0,0.0
Female,57,White,0,9,0,0,7,0.0,0.0,3,0,1,Low,1,1.0,0.0
Male,23,Non-White,0,3,0,0,0,-1.0,1.0,3,1,3,High,4,1.0,193.0
Male,34,Non-White,0,2,0,0,2,0.0,1.0,2,1,3,Low,1,25.0,23.0
Male,38,Non-White,0,10,0,0,14,0.0,1.0,3,0,1,Low,8,116.0,0.0
Female,23,Non-White,0,4,0,0,1,-1.0,1.0,2,0,1,Low,4,1.0,0.0
Male,36,Non-White,0,3,0,0,2,-1.0,1.0,2,1,3,Low,1,2.0,77.0
Male,50,White,0,1,0,0,1,-4.0,4.0,3,0,1,Low,1,1.0,0.0
Female,37,White,0,3,0,0,0,-1.0,1.0,2,0,1,Low,1,1.0,0.0
Male,44,White,0,4,0,0,4,0.0,0.0,2,0,1,Low,4,1.0,0.0
Female,35,Non-White,0,9,1,0,23,-1.0,1.0,3,1,3,Low,9,2.0,0.0
Male,31,White,0,1,0,0,1,-36.0,36.0,3,0,1,Low,1,36.0,0.0
Male,24,Non-White,0,5,0,0,5,-1.0,1.0,3,1,3,Low,4,1.0,0.0
Male,40,Non-White,0,1,0,0,3,-108.0,109.0,3,0,1,Low,1,106.0,0.0
Male,26,Non-White,0,10,0,0,2,-1.0,1.0,3,1,3,Low,8,1.0,21.0
Male,37,Non-White,0,6,0,0,1,-1.0,2.0,3,0,1,Low,2,2.0,0.0
Male,27,Non-White,0,2,0,0,0,-1.0,1.0,2,0,1,Low,3,2.0,0.0
Female,31,White,0,3,0,0,1,-1.0,1.0,2,0,1,Low,2,1.0,0.0
Female,28,Non-White,0,8,0,0,0,0.0,1.0,3,0,1,Low,6,29.0,0.0
Male,43,White,0,5,0,0,11,49.0,56.0,3,1,2,High,3,121.0,121.0
Female,28,White,0,9,0,0,7,-1.0,1.0,3,1,3,Low,6,1.0,0.0
Male,38,Non-White,0,1,0,0,0,0.0,1.0,3,0,1,Low,1,1.0,0.0
Male,38,Non-White,0,1,0,0,2,-1.0,1.0,3,0,1,Low,1,1.0,0.0
Male,27,White,0,4,0,0,2,-36.0,36.0,2,0,1,Low,3,36.0,0.0
Female,28,Non-White,0,9,0,0,1,-1.0,1.0,3,0,1,Low,7,38.0,0.0
